Security,HKALLS,HKALL,USDCHF5m,GBPCHF5m,GBPJPY5m,GBPUSD5m,USDJPY5m,AUDUSD5m,EURUSD5m,USDCHF1m,GBPCHF1m,GBPJPY1m,GBPUSD1m,USDJPY1m,AUDUSD1m,EURUSD1m,SH51005060SBS,SH00030060SBS,SH99999960SBS,SH9999991m,SH5100501m,OHSIFUTX60SBS,HSIFUTX60SBS,TF100XBest,IF100XBest,IF100XStress,IF100X60SBS,IF100X6SBS,IF100X60S,IF100X6S,SH0003001S,SH0003006S,IF100X1S,SZ3993001m,SH0003001m,IF100X1m,SZ399300,SH1A00011m,ZJIF,SQAG,SQAL,SQAU,SQCU,SQFU,SQPB,SQRB,SQRU,SQWR,SQZN,SQalzl,Sqcuzl,SQruzl,SQznzl,SQrbzl,DLA,DLB,DLC,DLJ,DLL,DLM,DLP,DLV,DLY,DLazl,DLpzl,DLmzl,ZZCF,ZZER,ZZFG,ZZME,ZZRO,ZZSR,ZZTA,ZZWS,ZZWT,ZZsrzl,ZZcfzl,ZZrozl,ZZtazl
feeType,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,a2,r2,r2,r2,r2,r2,r2,r2,r2,r2,a2,r1,a2,a2,r1,a2,a2,a2,r2,a2,a2,a2,a2,a2,a2,a2,a2,a2,a2,r2,a2,a2,a2,a2,a2,a2,a2,a2,a2,a2
feeValue,0.0001,0.0037,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.0002,0.000155,0.000155,0.000155,0.0,0.000155,0.000155,0.0000325,0.0000325,0.00012,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,0.000155,5.5,0.0002,0.0002,0.00006,0.0002,0.0002,0.0000495,0.0002,0.0002,0.0002,5.5,0.00022,5.5,8.8,0.00011,4,4,3,0.000044,4,3,6,6,6,4.4,4.4,3.3,8,2,0.00012,2,4,4,4,2,2,4.4,6.6,2.2,4.4
BASpreadValue,0.01,0.01,0.00025,0.0005,0.03,0.0002,0.02,0.0002,0.0002,0.00025,0.0005,0.03,0.0002,0.02,0.0002,0.0002,0.001,0.2,0.2,0.2,0.001,1,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5,5,0.01,10,1,5,1,5,1,5,5,10,5,5,1,1,1,1,1,5,1,2,5,2,1,2,1,5,1,1,1,2,1,2,1,1,1,5,2,2
ContractFactor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300,300,300,1,50,50,10000,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,5,5,1000,5,50,25,10,10,10,5,5,5,5,5,10,10,10,10,100,5,10,10,5,10,10,10,10,5,10,20,50,5,10,5,10,10,10,5,5,5
morningOpenTime,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:45:00,9:15:00,9:15:00,9:15:00,9:15:00,9:15:00,9:15:00,9:15:00,9:15:00,9:30:00,9:30:00,9:15:00,9:30:00,9:30:00,9:15:00,9:30:00,9:30:00,9:15:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00,9:00:00
noonCloseTime,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,12:30:00,12:00:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00
noonOpenTime,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,14:30:00,13:30:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,13:00:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00
afternoonCloseTime,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,23:59:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,16:15:00,16:15:00,15:15:00,15:15:00,15:15:00,15:15:00,15:15:00,15:15:00,15:15:00,15:00:00,15:00:00,15:15:00,15:00:00,15:00:00,15:15:00,15:00:00,15:00:00,15:15:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00,15:00:00
weekEndTrading,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
minPriceChange,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.001,0.01,0.01,0.01,0.001,0.01,0.01,0.002,0.2,0.2,0.2,0.2,0.2,0.2,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.2,5,5,0.01,10,1,5,1,5,1,5,0.01,10,0.01,0.01,0.01,1,1,1,1,5,1,2,5,2,0.01,0.01,0.01,5,1,1,1,2,1,2,1,1,0.01,0.01,0.01,0.01
morningbreakstart,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00,10:15:00
morningbreakend,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,9:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00
